creek_id,site_id
WIL,WIL070
WIL,WIL060
WIL,WIL050
WIL,WIL040
SPA,SPA129
SPA,SPA110
SPA,SPA108
SPA,SPA103
SPA,SPA260
SPA,SPA250
SPA,SPA230
SPA,SPA231
SPA,SPA210
SPA,SPA180
ALH,ALH110
WAL,WAL080
CEO,CEO170
WAL,WAL045
CEO,CEO166
CEO,CEO160
MSH,MSH120
MSH,MSH110
MSH,MSH100
MSH,MSH090
MSH,MSH061
MSH,MSH050
MSH,MSH045
MSH,MSH030
MSH,MSH020
BAX,BAX030
SUP,SUP030
CEO,CEO168
