StationCode,label
WIL070,Alvarado Park
WIL060,Vale Rd.
WIL050,Davis Park
WIL040,Verde Elementary
SPA129,Castro Creek Tributary
SPA110,Wilkie Creek Tributary
SPA108,Appian Creek Tributary
SPA103,El Sobrante Library
SPA260,Orchard Rd.
SPA250,Brookside Rd.
SPA230,Caldecott Creek Tributary
SPA231,Brookwood Rd.
SPA210,Lauterwasser Creek Tributary
SPA180,Manzanita Bridge
ALH110,F St.
WAL080,Civic Park
CEO170,Pleasant Hill Middle School
WAL045,Highway-242
CEO166,Golf Club Rd.
CEO160,Chilpancingo Pkwy.
MSH120,Aspara Dr.
MSH110,2103 Marsh Creek Rd.
MSH100,14350 Marsh Creek Rd.
MSH090,16000 Marsh Creek Rd.
MSH061,Creekside Park
MSH050,Deer Creek
MSH045,Sand Creek
MSH030,Delta Rd.
MSH020,Cypress Rd.
BAX030,Booker T. Anderson Community Center
SUP030,Wanlass Park
CEO168,Diablo Valley College
