Analyte,count,group_name,analyte_desc_name,analyte_desc_name_2
"PBDE 105, Total",138,PBDE,"PAHs, PCBs, PBDEs",
"PBDE 116, Total",141,PBDE,"PAHs, PCBs, PBDEs",
"PBDE 119, Total",103,PBDE,"PAHs, PCBs, PBDEs",
"PBDE 120, Total",15,PBDE,"PAHs, PCBs, PBDEs",
"PBDE 126, Total",131,PBDE,"PAHs, PCBs, PBDEs",
"PBDE 128, Total",136,PBDE,"PAHs, PCBs, PBDEs",
"PBDE 138, Total",135,PBDE,"PAHs, PCBs, PBDEs",
"PBDE 140, Total",118,PBDE,"PAHs, PCBs, PBDEs",
"PBDE 153, Total",136,PBDE,"PAHs, PCBs, PBDEs",
"PBDE 154, Total",143,PBDE,"PAHs, PCBs, PBDEs",
"PBDE 155, Total",121,PBDE,"PAHs, PCBs, PBDEs",
"PBDE 166, Total",15,PBDE,"PAHs, PCBs, PBDEs",
"PBDE 179, Total",12,PBDE,"PAHs, PCBs, PBDEs",
"PBDE 181, Total",133,PBDE,"PAHs, PCBs, PBDEs",
"PBDE 183, Total",113,PBDE,"PAHs, PCBs, PBDEs",
"PBDE 184, Total",12,PBDE,"PAHs, PCBs, PBDEs",
"PBDE 188, Total",12,PBDE,"PAHs, PCBs, PBDEs",
"PBDE 190, Total",152,PBDE,"PAHs, PCBs, PBDEs",
"PBDE 196, Total",38,PBDE,"PAHs, PCBs, PBDEs",
"PBDE 197, Total",45,PBDE,"PAHs, PCBs, PBDEs",
"PBDE 200/203, Total",12,PBDE,"PAHs, PCBs, PBDEs",
"PBDE 201, Total",12,PBDE,"PAHs, PCBs, PBDEs",
"PBDE 202, Total",12,PBDE,"PAHs, PCBs, PBDEs",
"PBDE 203, Total",94,PBDE,"PAHs, PCBs, PBDEs",
"PBDE 204, Total",53,PBDE,"PAHs, PCBs, PBDEs",
"PBDE 205, Total",80,PBDE,"PAHs, PCBs, PBDEs",
"PBDE 206, Total",108,PBDE,"PAHs, PCBs, PBDEs",
"PBDE 207, Total",102,PBDE,"PAHs, PCBs, PBDEs",
"PBDE 208, Total",108,PBDE,"PAHs, PCBs, PBDEs",
"PBDE 209, Total",93,PBDE,"PAHs, PCBs, PBDEs",
"PCB 001, Total",42,PCB,"PAHs, PCBs, PBDEs",
"PCB 002, Total",42,PCB,"PAHs, PCBs, PBDEs",
"PCB 003, Total",56,PCB,"PAHs, PCBs, PBDEs",
"PCB 004, Total",54,PCB,"PAHs, PCBs, PBDEs",
"PCB 005, Total",56,PCB,"PAHs, PCBs, PBDEs",
"PCB 005/8, Total",6,PCB,"PAHs, PCBs, PBDEs",
"PCB 006, Total",58,PCB,"PAHs, PCBs, PBDEs",
"PCB 007, Total",47,PCB,"PAHs, PCBs, PBDEs",
"PCB 008, Dissolved",73,PCB,"PAHs, PCBs, PBDEs",
"PCB 008, Particulate",66,PCB,"PAHs, PCBs, PBDEs",
"PCB 008, Total",492,PCB,"PAHs, PCBs, PBDEs",
"PCB 009, Total",56,PCB,"PAHs, PCBs, PBDEs",
"PCB 010, Total",46,PCB,"PAHs, PCBs, PBDEs",
"PCB 011, Total",36,PCB,"PAHs, PCBs, PBDEs",
"PCB 012, Total",6,PCB,"PAHs, PCBs, PBDEs",
"PCB 013, Total",45,PCB,"PAHs, PCBs, PBDEs",
"PCB 014, Total",52,PCB,"PAHs, PCBs, PBDEs",
"PCB 015, Dissolved",52,PCB,"PAHs, PCBs, PBDEs",
"PCB 015, Particulate",51,PCB,"PAHs, PCBs, PBDEs",
"PCB 015, Total",99,PCB,"PAHs, PCBs, PBDEs",
"PCB 016, Total",47,PCB,"PAHs, PCBs, PBDEs",
"PCB 017, Dissolved",38,PCB,"PAHs, PCBs, PBDEs",
"PCB 017, Particulate",37,PCB,"PAHs, PCBs, PBDEs",
"PCB 017, Total",52,PCB,"PAHs, PCBs, PBDEs",
"PCB 018, Dissolved",73,PCB,"PAHs, PCBs, PBDEs",
"PCB 018, Particulate",64,PCB,"PAHs, PCBs, PBDEs",
"PCB 018, Total",506,PCB,"PAHs, PCBs, PBDEs",
"PCB 019, Total",50,PCB,"PAHs, PCBs, PBDEs",
"PCB 020, Dissolved",10,PCB,"PAHs, PCBs, PBDEs",
"PCB 020, Particulate",10,PCB,"PAHs, PCBs, PBDEs",
"PCB 020, Total",3,PCB,"PAHs, PCBs, PBDEs",
"PCB 020/21/33, Total",6,PCB,"PAHs, PCBs, PBDEs",
"PCB 021, Dissolved",10,PCB,"PAHs, PCBs, PBDEs",
"PCB 021, Particulate",10,PCB,"PAHs, PCBs, PBDEs",
"PCB 021, Total",3,PCB,"PAHs, PCBs, PBDEs",
"PCB 022, Total",51,PCB,"PAHs, PCBs, PBDEs",
"PCB 023, Total",46,PCB,"PAHs, PCBs, PBDEs",
"PCB 024, Total",49,PCB,"PAHs, PCBs, PBDEs",
"PCB 025, Total",65,PCB,"PAHs, PCBs, PBDEs",
"PCB 026, Total",64,PCB,"PAHs, PCBs, PBDEs",
"PCB 027, Dissolved",54,PCB,"PAHs, PCBs, PBDEs",
"PCB 027, Particulate",52,PCB,"PAHs, PCBs, PBDEs",
"PCB 027, Total",87,PCB,"PAHs, PCBs, PBDEs",
"PCB 028, Dissolved",77,PCB,"PAHs, PCBs, PBDEs",
"PCB 028, Particulate",66,PCB,"PAHs, PCBs, PBDEs",
"PCB 028, Total",502,PCB,"PAHs, PCBs, PBDEs",
"PCB 028/31, Total",6,PCB,"PAHs, PCBs, PBDEs",
"PCB 029, Dissolved",60,PCB,"PAHs, PCBs, PBDEs",
"PCB 029, Particulate",58,PCB,"PAHs, PCBs, PBDEs",
"PCB 029, Total",62,PCB,"PAHs, PCBs, PBDEs",
"PCB 030, Dissolved",10,PCB,"PAHs, PCBs, PBDEs",
"PCB 030, Particulate",10,PCB,"PAHs, PCBs, PBDEs",
"PCB 030, Total",9,PCB,"PAHs, PCBs, PBDEs",
"PCB 031, Dissolved",77,PCB,"PAHs, PCBs, PBDEs",
"PCB 031, Particulate",59,PCB,"PAHs, PCBs, PBDEs",
"PCB 031, Total",493,PCB,"PAHs, PCBs, PBDEs",
"PCB 032, Total",38,PCB,"PAHs, PCBs, PBDEs",
"PCB 033, Dissolved",21,PCB,"PAHs, PCBs, PBDEs",
"PCB 033, Particulate",13,PCB,"PAHs, PCBs, PBDEs",
"PCB 033, Total",436,PCB,"PAHs, PCBs, PBDEs",
"PCB 034, Total",42,PCB,"PAHs, PCBs, PBDEs",
"PCB 035, Total",49,PCB,"PAHs, PCBs, PBDEs",
"PCB 036, Total",48,PCB,"PAHs, PCBs, PBDEs",
"PCB 037, Total",70,PCB,"PAHs, PCBs, PBDEs",
"PCB 038, Total",49,PCB,"PAHs, PCBs, PBDEs",
"PCB 039, Total",49,PCB,"PAHs, PCBs, PBDEs",
"PCB 040, Dissolved",6,PCB,"PAHs, PCBs, PBDEs",
"PCB 040, Particulate",6,PCB,"PAHs, PCBs, PBDEs",
"PCB 040, Total",67,PCB,"PAHs, PCBs, PBDEs",
"PCB 041, Total",30,PCB,"PAHs, PCBs, PBDEs",
"PCB 042, Total",51,PCB,"PAHs, PCBs, PBDEs",
"PCB 043, Total",41,PCB,"PAHs, PCBs, PBDEs",
"PCB 043/49, Total",6,PCB,"PAHs, PCBs, PBDEs",
"PCB 044, Dissolved",81,PCB,"PAHs, PCBs, PBDEs",
"PCB 044, Particulate",74,PCB,"PAHs, PCBs, PBDEs",
"PCB 044, Total",511,PCB,"PAHs, PCBs, PBDEs",
"PCB 045, Total",60,PCB,"PAHs, PCBs, PBDEs",
"PCB 046, Dissolved",42,PCB,"PAHs, PCBs, PBDEs",
"PCB 046, Particulate",39,PCB,"PAHs, PCBs, PBDEs",
"PCB 046, Total",75,PCB,"PAHs, PCBs, PBDEs",
"PCB 047, Dissolved",10,PCB,"PAHs, PCBs, PBDEs",
"PCB 047, Particulate",10,PCB,"PAHs, PCBs, PBDEs",
"PCB 047, Total",9,PCB,"PAHs, PCBs, PBDEs",
"PCB 048, Total",43,PCB,"PAHs, PCBs, PBDEs",
"PCB 049, Dissolved",80,PCB,"PAHs, PCBs, PBDEs",
"PCB 049, Particulate",71,PCB,"PAHs, PCBs, PBDEs",
"PCB 049, Total",506,PCB,"PAHs, PCBs, PBDEs",
"PCB 050, Total",9,PCB,"PAHs, PCBs, PBDEs",
"PCB 051, Total",6,PCB,"PAHs, PCBs, PBDEs",
"PCB 052, Dissolved",63,PCB,"PAHs, PCBs, PBDEs",
"PCB 052, Particulate",56,PCB,"PAHs, PCBs, PBDEs",
"PCB 052, Total",495,PCB,"PAHs, PCBs, PBDEs",
"PCB 052/69, Total",6,PCB,"PAHs, PCBs, PBDEs",
"PCB 053, Total",47,PCB,"PAHs, PCBs, PBDEs",
"PCB 054, Total",47,PCB,"PAHs, PCBs, PBDEs",
"PCB 055, Total",49,PCB,"PAHs, PCBs, PBDEs",
"PCB 056, Dissolved",18,PCB,"PAHs, PCBs, PBDEs",
"PCB 056, Particulate",18,PCB,"PAHs, PCBs, PBDEs",
"PCB 056, Total",411,PCB,"PAHs, PCBs, PBDEs",
"PCB 056/60, Total",12,PCB,"PAHs, PCBs, PBDEs",
"PCB 057, Total",52,PCB,"PAHs, PCBs, PBDEs",
"PCB 058, Total",48,PCB,"PAHs, PCBs, PBDEs",
"PCB 059, Total",43,PCB,"PAHs, PCBs, PBDEs",
"PCB 060, Dissolved",79,PCB,"PAHs, PCBs, PBDEs",
"PCB 060, Particulate",75,PCB,"PAHs, PCBs, PBDEs",
"PCB 060, Total",486,PCB,"PAHs, PCBs, PBDEs",
"PCB 061, Dissolved",10,PCB,"PAHs, PCBs, PBDEs",
"PCB 061, Particulate",10,PCB,"PAHs, PCBs, PBDEs",
"PCB 061, Total",3,PCB,"PAHs, PCBs, PBDEs",
"PCB 061/70, Total",6,PCB,"PAHs, PCBs, PBDEs",
"PCB 062, Total",6,PCB,"PAHs, PCBs, PBDEs",
"PCB 063, Total",50,PCB,"PAHs, PCBs, PBDEs",
"PCB 064, Dissolved",45,PCB,"PAHs, PCBs, PBDEs",
"PCB 064, Particulate",44,PCB,"PAHs, PCBs, PBDEs",
"PCB 064, Total",59,PCB,"PAHs, PCBs, PBDEs",
"PCB 065, Dissolved",10,PCB,"PAHs, PCBs, PBDEs",
"PCB 065, Particulate",10,PCB,"PAHs, PCBs, PBDEs",
"PCB 065, Total",3,PCB,"PAHs, PCBs, PBDEs",
"PCB 066, Dissolved",75,PCB,"PAHs, PCBs, PBDEs",
"PCB 066, Particulate",73,PCB,"PAHs, PCBs, PBDEs",
"PCB 066, Total",508,PCB,"PAHs, PCBs, PBDEs",
"PCB 066/76, Total",6,PCB,"PAHs, PCBs, PBDEs",
"PCB 067, Total",51,PCB,"PAHs, PCBs, PBDEs",
"PCB 068, Total",41,PCB,"PAHs, PCBs, PBDEs",
"PCB 069, Dissolved",10,PCB,"PAHs, PCBs, PBDEs",
"PCB 069, Particulate",10,PCB,"PAHs, PCBs, PBDEs",
"PCB 069, Total",9,PCB,"PAHs, PCBs, PBDEs",
"PCB 070, Dissolved",81,PCB,"PAHs, PCBs, PBDEs",
"PCB 070, Particulate",78,PCB,"PAHs, PCBs, PBDEs",
"PCB 070, Total",516,PCB,"PAHs, PCBs, PBDEs",
"PCB 072, Total",49,PCB,"PAHs, PCBs, PBDEs",
"PCB 073, Total",22,PCB,"PAHs, PCBs, PBDEs",
"PCB 074, Dissolved",73,PCB,"PAHs, PCBs, PBDEs",
"PCB 074, Particulate",72,PCB,"PAHs, PCBs, PBDEs",
"PCB 074, Total",178,PCB,"PAHs, PCBs, PBDEs",
"PCB 076, Dissolved",10,PCB,"PAHs, PCBs, PBDEs",
"PCB 076, Particulate",10,PCB,"PAHs, PCBs, PBDEs",
"PCB 076, Total",3,PCB,"PAHs, PCBs, PBDEs",
"PCB 077, Total",100,PCB,"PAHs, PCBs, PBDEs",
"PCB 078, Total",47,PCB,"PAHs, PCBs, PBDEs",
"PCB 079, Total",50,PCB,"PAHs, PCBs, PBDEs",
"PCB 080, Total",41,PCB,"PAHs, PCBs, PBDEs",
"PCB 081, Total",71,PCB,"PAHs, PCBs, PBDEs",
"PCB 082, Total",72,PCB,"PAHs, PCBs, PBDEs",
"PCB 083, Dissolved",10,PCB,"PAHs, PCBs, PBDEs",
"PCB 083, Particulate",10,PCB,"PAHs, PCBs, PBDEs",
"PCB 083, Total",47,PCB,"PAHs, PCBs, PBDEs",
"PCB 084, Dissolved",42,PCB,"PAHs, PCBs, PBDEs",
"PCB 084, Particulate",35,PCB,"PAHs, PCBs, PBDEs",
"PCB 084, Total",75,PCB,"PAHs, PCBs, PBDEs",
"PCB 085, Dissolved",53,PCB,"PAHs, PCBs, PBDEs",
"PCB 085, Particulate",54,PCB,"PAHs, PCBs, PBDEs",
"PCB 085, Total",80,PCB,"PAHs, PCBs, PBDEs",
"PCB 086, Dissolved",10,PCB,"PAHs, PCBs, PBDEs",
"PCB 086, Particulate",10,PCB,"PAHs, PCBs, PBDEs",
"PCB 086, Total",3,PCB,"PAHs, PCBs, PBDEs",
"PCB 087, Dissolved",80,PCB,"PAHs, PCBs, PBDEs",
"PCB 087, Particulate",79,PCB,"PAHs, PCBs, PBDEs",
"PCB 087, Total",501,PCB,"PAHs, PCBs, PBDEs",
"PCB 087/117/125, Total",6,PCB,"PAHs, PCBs, PBDEs",
"PCB 088, Total",21,PCB,"PAHs, PCBs, PBDEs",
"PCB 089, Dissolved",42,PCB,"PAHs, PCBs, PBDEs",
"PCB 089, Particulate",41,PCB,"PAHs, PCBs, PBDEs",
"PCB 089, Total",52,PCB,"PAHs, PCBs, PBDEs",
"PCB 090, Dissolved",10,PCB,"PAHs, PCBs, PBDEs",
"PCB 090, Particulate",10,PCB,"PAHs, PCBs, PBDEs",
"PCB 090, Total",3,PCB,"PAHs, PCBs, PBDEs",
"PCB 090/101, Total",6,PCB,"PAHs, PCBs, PBDEs",
"PCB 091, Total",48,PCB,"PAHs, PCBs, PBDEs",
"PCB 092, Total",65,PCB,"PAHs, PCBs, PBDEs",
"PCB 093, Dissolved",10,PCB,"PAHs, PCBs, PBDEs",
"PCB 093, Particulate",10,PCB,"PAHs, PCBs, PBDEs",
"PCB 093, Total",26,PCB,"PAHs, PCBs, PBDEs",
"PCB 094, Total",51,PCB,"PAHs, PCBs, PBDEs",
"PCB 095, Dissolved",77,PCB,"PAHs, PCBs, PBDEs",
"PCB 095, Particulate",76,PCB,"PAHs, PCBs, PBDEs",
"PCB 095, Total",499,PCB,"PAHs, PCBs, PBDEs",
"PCB 095/98/102, Total",6,PCB,"PAHs, PCBs, PBDEs",
"PCB 096, Total",50,PCB,"PAHs, PCBs, PBDEs",
"PCB 097, Dissolved",73,PCB,"PAHs, PCBs, PBDEs",
"PCB 097, Particulate",73,PCB,"PAHs, PCBs, PBDEs",
"PCB 097, Total",175,PCB,"PAHs, PCBs, PBDEs",
"PCB 098, Dissolved",10,PCB,"PAHs, PCBs, PBDEs",
"PCB 098, Particulate",10,PCB,"PAHs, PCBs, PBDEs",
"PCB 098, Total",9,PCB,"PAHs, PCBs, PBDEs",
"PCB 099, Dissolved",81,PCB,"PAHs, PCBs, PBDEs",
"PCB 099, Particulate",77,PCB,"PAHs, PCBs, PBDEs",
"PCB 099, Total",530,PCB,"PAHs, PCBs, PBDEs",
"PCB 100, Dissolved",10,PCB,"PAHs, PCBs, PBDEs",
"PCB 100, Particulate",10,PCB,"PAHs, PCBs, PBDEs",
"PCB 100, Total",24,PCB,"PAHs, PCBs, PBDEs",
"PCB 101, Dissolved",81,PCB,"PAHs, PCBs, PBDEs",
"PCB 101, Particulate",72,PCB,"PAHs, PCBs, PBDEs",
"PCB 101, Total",521,PCB,"PAHs, PCBs, PBDEs",
"PCB 102, Dissolved",10,PCB,"PAHs, PCBs, PBDEs",
"PCB 102, Particulate",10,PCB,"PAHs, PCBs, PBDEs",
"PCB 102, Total",26,PCB,"PAHs, PCBs, PBDEs",
"PCB 103, Dissolved",15,PCB,"PAHs, PCBs, PBDEs",
"PCB 103, Particulate",15,PCB,"PAHs, PCBs, PBDEs",
"PCB 103, Total",51,PCB,"PAHs, PCBs, PBDEs",
"PCB 104, Total",43,PCB,"PAHs, PCBs, PBDEs",
"PCB 105, Dissolved",73,PCB,"PAHs, PCBs, PBDEs",
"PCB 105, Particulate",72,PCB,"PAHs, PCBs, PBDEs",
"PCB 105, Total",515,PCB,"PAHs, PCBs, PBDEs",
"PCB 106, Total",44,PCB,"PAHs, PCBs, PBDEs",
"PCB 106/118, Total",6,PCB,"PAHs, PCBs, PBDEs",
"PCB 107, Total",21,PCB,"PAHs, PCBs, PBDEs",
"PCB 108, Dissolved",10,PCB,"PAHs, PCBs, PBDEs",
"PCB 108, Particulate",10,PCB,"PAHs, PCBs, PBDEs",
"PCB 108, Total",3,PCB,"PAHs, PCBs, PBDEs",
"PCB 109, Total",29,PCB,"PAHs, PCBs, PBDEs",
"PCB 110, Dissolved",81,PCB,"PAHs, PCBs, PBDEs",
"PCB 110, Particulate",81,PCB,"PAHs, PCBs, PBDEs",
"PCB 110, Total",538,PCB,"PAHs, PCBs, PBDEs",
"PCB 111, Total",42,PCB,"PAHs, PCBs, PBDEs",
"PCB 112, Total",49,PCB,"PAHs, PCBs, PBDEs",
"PCB 113, Dissolved",10,PCB,"PAHs, PCBs, PBDEs",
"PCB 113, Particulate",10,PCB,"PAHs, PCBs, PBDEs",
"PCB 113, Total",9,PCB,"PAHs, PCBs, PBDEs",
"PCB 114, Dissolved",12,PCB,"PAHs, PCBs, PBDEs",
"PCB 114, Particulate",12,PCB,"PAHs, PCBs, PBDEs",
"PCB 114, Total",103,PCB,"PAHs, PCBs, PBDEs",
"PCB 115, Dissolved",10,PCB,"PAHs, PCBs, PBDEs",
"PCB 115, Particulate",10,PCB,"PAHs, PCBs, PBDEs",
"PCB 115, Total",3,PCB,"PAHs, PCBs, PBDEs",
"PCB 118, Dissolved",81,PCB,"PAHs, PCBs, PBDEs",
"PCB 118, Particulate",81,PCB,"PAHs, PCBs, PBDEs",
"PCB 118, Total",521,PCB,"PAHs, PCBs, PBDEs",
"PCB 119, Dissolved",22,PCB,"PAHs, PCBs, PBDEs",
"PCB 119, Particulate",22,PCB,"PAHs, PCBs, PBDEs",
"PCB 119, Total",36,PCB,"PAHs, PCBs, PBDEs",
"PCB 120, Total",45,PCB,"PAHs, PCBs, PBDEs",
"PCB 121, Total",43,PCB,"PAHs, PCBs, PBDEs",
"PCB 122, Total",50,PCB,"PAHs, PCBs, PBDEs",
"PCB 123, Total",80,PCB,"PAHs, PCBs, PBDEs",
"PCB 124, Total",50,PCB,"PAHs, PCBs, PBDEs",
"PCB 125, Dissolved",10,PCB,"PAHs, PCBs, PBDEs",
"PCB 125, Particulate",10,PCB,"PAHs, PCBs, PBDEs",
"PCB 125, Total",9,PCB,"PAHs, PCBs, PBDEs",
"PCB 126, Total",87,PCB,"PAHs, PCBs, PBDEs",
"PCB 127, Total",41,PCB,"PAHs, PCBs, PBDEs",
"PCB 128, Dissolved",82,PCB,"PAHs, PCBs, PBDEs",
"PCB 128, Particulate",79,PCB,"PAHs, PCBs, PBDEs",
"PCB 128, Total",528,PCB,"PAHs, PCBs, PBDEs",
"PCB 128/162, Total",6,PCB,"PAHs, PCBs, PBDEs",
"PCB 129, Dissolved",10,PCB,"PAHs, PCBs, PBDEs",
"PCB 129, Particulate",10,PCB,"PAHs, PCBs, PBDEs",
"PCB 129, Total",24,PCB,"PAHs, PCBs, PBDEs",
"PCB 130, Total",51,PCB,"PAHs, PCBs, PBDEs",
"PCB 131, Total",52,PCB,"PAHs, PCBs, PBDEs",
"PCB 132, Dissolved",82,PCB,"PAHs, PCBs, PBDEs",
"PCB 132, Particulate",80,PCB,"PAHs, PCBs, PBDEs",
"PCB 132, Total",462,PCB,"PAHs, PCBs, PBDEs",
"PCB 132/161, Total",6,PCB,"PAHs, PCBs, PBDEs",
"PCB 133, Total",51,PCB,"PAHs, PCBs, PBDEs",
"PCB 134, Total",50,PCB,"PAHs, PCBs, PBDEs",
"PCB 135, Dissolved",10,PCB,"PAHs, PCBs, PBDEs",
"PCB 135, Particulate",10,PCB,"PAHs, PCBs, PBDEs",
"PCB 135, Total",9,PCB,"PAHs, PCBs, PBDEs",
"PCB 136, Total",66,PCB,"PAHs, PCBs, PBDEs",
"PCB 137, Dissolved",57,PCB,"PAHs, PCBs, PBDEs",
"PCB 137, Particulate",57,PCB,"PAHs, PCBs, PBDEs",
"PCB 137, Total",91,PCB,"PAHs, PCBs, PBDEs",
"PCB 138, Dissolved",81,PCB,"PAHs, PCBs, PBDEs",
"PCB 138, Particulate",81,PCB,"PAHs, PCBs, PBDEs",
"PCB 138, Total",530,PCB,"PAHs, PCBs, PBDEs",
"PCB 138/158, Total",6,PCB,"PAHs, PCBs, PBDEs",
"PCB 138/163/164, Total",6,PCB,"PAHs, PCBs, PBDEs",
"PCB 139, Total",45,PCB,"PAHs, PCBs, PBDEs",
"PCB 139/149, Total",6,PCB,"PAHs, PCBs, PBDEs",
"PCB 140, Total",6,PCB,"PAHs, PCBs, PBDEs",
"PCB 141, Dissolved",70,PCB,"PAHs, PCBs, PBDEs",
"PCB 141, Particulate",69,PCB,"PAHs, PCBs, PBDEs",
"PCB 141, Total",523,PCB,"PAHs, PCBs, PBDEs",
"PCB 142, Total",46,PCB,"PAHs, PCBs, PBDEs",
"PCB 143, Total",4,PCB,"PAHs, PCBs, PBDEs",
"PCB 144, Total",45,PCB,"PAHs, PCBs, PBDEs",
"PCB 145, Total",43,PCB,"PAHs, PCBs, PBDEs",
"PCB 146, Dissolved",51,PCB,"PAHs, PCBs, PBDEs",
"PCB 146, Particulate",51,PCB,"PAHs, PCBs, PBDEs",
"PCB 146, Total",86,PCB,"PAHs, PCBs, PBDEs",
"PCB 147, Dissolved",10,PCB,"PAHs, PCBs, PBDEs",
"PCB 147, Particulate",10,PCB,"PAHs, PCBs, PBDEs",
"PCB 147, Total",9,PCB,"PAHs, PCBs, PBDEs",
"PCB 148, Total",52,PCB,"PAHs, PCBs, PBDEs",
"PCB 149, Dissolved",80,PCB,"PAHs, PCBs, PBDEs",
"PCB 149, Particulate",81,PCB,"PAHs, PCBs, PBDEs",
"PCB 149, Total",531,PCB,"PAHs, PCBs, PBDEs",
"PCB 150, Total",49,PCB,"PAHs, PCBs, PBDEs",
"PCB 151, Dissolved",78,PCB,"PAHs, PCBs, PBDEs",
"PCB 151, Particulate",75,PCB,"PAHs, PCBs, PBDEs",
"PCB 151, Total",529,PCB,"PAHs, PCBs, PBDEs",
"PCB 152, Total",46,PCB,"PAHs, PCBs, PBDEs",
"PCB 153, Dissolved",79,PCB,"PAHs, PCBs, PBDEs",
"PCB 153, Particulate",81,PCB,"PAHs, PCBs, PBDEs",
"PCB 153, Total",534,PCB,"PAHs, PCBs, PBDEs",
"PCB 153/168, Total",4,PCB,"PAHs, PCBs, PBDEs",
"PCB 154, Dissolved",10,PCB,"PAHs, PCBs, PBDEs",
"PCB 154, Particulate",10,PCB,"PAHs, PCBs, PBDEs",
"PCB 154, Total",33,PCB,"PAHs, PCBs, PBDEs",
"PCB 155, Total",44,PCB,"PAHs, PCBs, PBDEs",
"PCB 156, Dissolved",81,PCB,"PAHs, PCBs, PBDEs",
"PCB 156, Particulate",80,PCB,"PAHs, PCBs, PBDEs",
"PCB 156, Total",532,PCB,"PAHs, PCBs, PBDEs",
"PCB 157, Dissolved",67,PCB,"PAHs, PCBs, PBDEs",
