Analyte,count,group_name,analyte_desc_name,analyte_desc_name_2
"Ammonium as N, Total",38,,Ammonium,
"Carbaryl, Total",87,,Carbaryl,
"Coliform, Fecal",945,,"Fecal Indicator Bacteria (including E. coli, enterococcus)",
"Copper, Dissolved",249,,Dissolved Copper,
"Fipronil Amide, Not Recorded",33,Fipronil,Fipronil,
"Fipronil Amide, Total",24,Fipronil,Fipronil,
"Fipronil Desulfinyl Amide, Not Recorded",34,Fipronil,Fipronil,
"Fipronil Desulfinyl Amide, Total",24,Fipronil,Fipronil,
"Fipronil Desulfinyl, Dissolved",18,Fipronil,Fipronil,
"Fipronil Desulfinyl, Not Recorded",34,Fipronil,Fipronil,
"Fipronil Desulfinyl, Total",60,Fipronil,Fipronil,
"Fipronil DetrifluoroMethylsulfinyl, Total",4,Fipronil,Fipronil,
"Fipronil Sulfide, Dissolved",18,Fipronil,Fipronil,
"Fipronil Sulfide, Not Recorded",34,Fipronil,Fipronil,
"Fipronil Sulfide, Total",58,Fipronil,Fipronil,
"Fipronil Sulfone, Dissolved",18,Fipronil,Fipronil,
"Fipronil Sulfone, Not Recorded",34,Fipronil,Fipronil,
"Fipronil Sulfone, Total",54,Fipronil,Fipronil,
"Fipronil, Dissolved",18,Fipronil,Fipronil,
"Fipronil, Not Recorded",34,Fipronil,Fipronil,
"Fipronil, Total",51,Fipronil,Fipronil,
"Hardness as CaCO3, Dissolved",90,Hardness,Hardness,
"Mercury, Methyl, Total",274,Mercury and Methylmercury,Total Mercury and Methylmercury,
"Mercury, Total",699,Mercury and Methylmercury,Total Mercury and Methylmercury,
"Nitrate + Nitrite as N, Total",30,Nitrate and Nitrite,Nitrate,Nitrite
"Nitrate as N, Total",293,Nitrate,Nitrate,
"Nitrite as N, Total",136,Nitrate,Nitrite,
"OilandGrease, HEM, Total",10,Oil and Grease,"Diesel, Motor Oil, Grease, Gasoline",
"Oxygen, Dissolved, Total",937,Dissolved Oxygen,Dissolved Oxygen,
"PBDE 001, Total",4,PBDE,"PAHs, PCBs, PBDEs",
"PBDE 002, Total",4,PBDE,"PAHs, PCBs, PBDEs",
"PBDE 003, Total",4,PBDE,"PAHs, PCBs, PBDEs",
"PBDE 007, Total",133,PBDE,"PAHs, PCBs, PBDEs",
"PBDE 008, Total",135,PBDE,"PAHs, PCBs, PBDEs",
"PBDE 010, Total",107,PBDE,"PAHs, PCBs, PBDEs",
"PBDE 011, Total",15,PBDE,"PAHs, PCBs, PBDEs",
"PBDE 012, Total",127,PBDE,"PAHs, PCBs, PBDEs",
"PBDE 013, Total",19,PBDE,"PAHs, PCBs, PBDEs",
"PBDE 015, Total",141,PBDE,"PAHs, PCBs, PBDEs",
"PBDE 017, Total",150,PBDE,"PAHs, PCBs, PBDEs",
"PBDE 017/25, Total",12,PBDE,"PAHs, PCBs, PBDEs",
"PBDE 025, Total",19,PBDE,"PAHs, PCBs, PBDEs",
"PBDE 028, Total",150,PBDE,"PAHs, PCBs, PBDEs",
"PBDE 028/33, Total",12,PBDE,"PAHs, PCBs, PBDEs",
"PBDE 030, Total",146,PBDE,"PAHs, PCBs, PBDEs",
"PBDE 032, Total",141,PBDE,"PAHs, PCBs, PBDEs",
"PBDE 033, Total",18,PBDE,"PAHs, PCBs, PBDEs",
"PBDE 035, Total",117,PBDE,"PAHs, PCBs, PBDEs",
"PBDE 037, Total",101,PBDE,"PAHs, PCBs, PBDEs",
"PBDE 047, Total",159,PBDE,"PAHs, PCBs, PBDEs",
"PBDE 049, Total",158,PBDE,"PAHs, PCBs, PBDEs",
"PBDE 051, Total",136,PBDE,"PAHs, PCBs, PBDEs",
"PBDE 066, Total",152,PBDE,"PAHs, PCBs, PBDEs",
"PBDE 071, Total",133,PBDE,"PAHs, PCBs, PBDEs",
"PBDE 075, Total",128,PBDE,"PAHs, PCBs, PBDEs",
"PBDE 077, Total",125,PBDE,"PAHs, PCBs, PBDEs",
"PBDE 079, Total",119,PBDE,"PAHs, PCBs, PBDEs",
"PBDE 085, Total",136,PBDE,"PAHs, PCBs, PBDEs",
"PBDE 099, Total",137,PBDE,"PAHs, PCBs, PBDEs",
"PBDE 100, Total",145,PBDE,"PAHs, PCBs, PBDEs",
