analyteName,category,thresholdDirection,aquaticThreshold,aquaticThreshold2,units,sourceURL,sourceLinkText,notes
Dissolved Oxygen,Vitals,above,5,NA,mg/L,https://www.epa.gov/sites/production/files/2014-12/documents/ca2-sanfrancisco-basin.pdf,USEPA Dissolved Oxygen Threshold,NA
pH,Vitals,between,6.5,8.5,none,https://www.epa.gov/sites/production/files/2014-12/documents/ca2-sanfrancisco-basin.pdf,USEPA pH Threshold,NA
Specific Conductivity,Vitals,between,150,500,uS/cm,https://archive.epa.gov/water/archive/web/html/vms59.html,USEPA Conductivity Threshold,NA
Temperature,Vitals,below,24,NA,°C,https://www.waterboards.ca.gov/water_issues/programs/tmdl/records/region_1/2008/ref2509.doc,California Water Boards Temperature Threshold,"This is the maximum temperature tolerated by salmonids, although they tend to avoid waters that are over 20 degrees C."
Turbidity,Vitals,below,25,NA,NTU,https://www.valleywater.org/sites/default/files/D5_Reports%20and%20Docs/D5_CCCH%20Watershed%20Project.pdf,Turbidity Threshold,"Turbidity Threshold derived from this publication: Sigler, J. W., T.C. Bjornn, and F.H. Everest. 1984. Effects of chronic turbidity on density and growth of steelhead and coho salmon. Transactions of the American Fisheries Society 113:142-150."
Nitrate,Nutrients,below,0.5,NA,mg/L,NA,Revital Katznelson (formerly SWAMP),"This threshold is based on the potential for eutrophication, rather than direct nitrate toxicity."
Nitrite,Nutrients,below,Same as nitrate?,NA,NA,NA,NA,NA
Ammonium,Nutrients,below,17,NA,mg/L,https://www.federalregister.gov/documents/2013/08/22/2013-20307/final-aquatic-life-ambient-water-quality-criteria-for-ammonia-freshwater-2013,USEPA Ammonia Threshold,1 hour average at pH 7 and 20 degrees C
Phosphates,Nutrients,below,0.05,NA,mg/L,http://fosc.org/WQData/WQParameters.htm,Phosphate Threshold,NA
Total Phosphorous,Nutrients,below,0.1,NA,mg/L,https://www.water-research.net/index.php/phosphates,NA,NA
Total Organic Carbon,Nutrients,below,NA,NA,NA,NA,NA,NA
Fecal Indicator Bacteria,Nutrients,below,200,NA,MPN/100mL,https://www.epa.gov/sites/production/files/2014-12/documents/ca2-sanfrancisco-basin.pdf,NA,This threshold applies to Fecal Coliform levels in areas with water contact recreation.
Hardness,Heavy Metals,NA,NA,NA,NA,NA,NA,"No threshold; it impacts the toxicity of dissolved metals, but is not toxic itself."
Methylmercury,Heavy Metals,below,NA,NA,NA,NA,NA,Based on fish monitoring only?
Copper,Heavy Metals,below,13,NA,ug/L,https://www.epa.gov/sites/production/files/2014-12/documents/ca2-sanfrancisco-basin.pdf,USEPA Copper Threshold,"Continous concentration, 1-hour average"
Lead,Heavy Metals,below,65,NA,ug/L,https://www.epa.gov/sites/production/files/2014-12/documents/ca2-sanfrancisco-basin.pdf,USEPA Lead Threshold,"Continous concentration, 1-hour average"
Zinc,Heavy Metals,below,120,NA,ug/L,https://www.epa.gov/sites/production/files/2014-12/documents/ca2-sanfrancisco-basin.pdf,USEPA Zinc Threshold,"Continous concentration, 1-hour average"
Nickel,Heavy Metals,below,470,NA,ug/L,https://www.epa.gov/sites/production/files/2014-12/documents/ca2-sanfrancisco-basin.pdf,USEPA Nickel Threshold,"Continous concentration, 1-hour average"
Mercury,Heavy Metals,below,2.4,NA,ug/L,https://www.epa.gov/sites/production/files/2014-12/documents/ca2-sanfrancisco-basin.pdf,USEPA Mercury Threshold,"Continous concentration, 1-hour average"
Selenium,Heavy Metals,below,3.1,NA,ug/L,NA,NA,NA
Pyrethroids,Insecticides,below,NA,NA,NA,NA,NA,NA
Carbaryl,Insecticides,below,NA,NA,NA,NA,NA,NA
Fipronil,Insecticides,below,NA,NA,NA,NA,NA,NA
Detergents,Insecticides,below,NA,NA,NA,NA,NA,NA
PAHs,Other Toxics,below,15,NA,ug/L,https://www.waterboards.ca.gov/sanfranciscobay/water_issues/programs/planningtmdls/basinplan/web/bp_ch3.html#3.3,NA,NA
PCBs,Other Toxics,below,0.014,NA,ug/L,https://www.epa.gov/wqc/national-recommended-water-quality-criteria-aquatic-life-criteria-table,NA,NA
PBDEs,Other Toxics,below,NA,NA,NA,NA,NA,NA
Diesel Fuel,Other Toxics,below,0,NA,NA,NA,NA,NA
Motor Oil,Other Toxics,equal to,0,NA,NA,https://www.epa.gov/sites/production/files/2014-12/documents/ca2-sanfrancisco-basin.pdf,NA,NA
Grease,Other Toxics,equal to,0,NA,NA,https://www.epa.gov/sites/production/files/2014-12/documents/ca2-sanfrancisco-basin.pdf,NA,NA
Gasoline,Other Toxics,below,0,NA,NA,NA,NA,NA
BMIs,Creek Bugs,NA,NA,NA,NA,NA,NA,NA
