creek_id,lat,long
WIL,37.9569861,-122.3425388
SPA,37.9238372,-122.2389386
ALH,38.00082,-122.12967
WAL,37.9397378,-122.0592496
MSH,37.9318981,-121.7558505
BAX,37.919164,-122.326242
SUP,37.97235,-122.34352
